127.0.0.1 - - [29/Jul/2025:21:44:32 +0900] "GET / HTTP/1.1" 404 808
0:0:0:0:0:0:0:1 - - [29/Jul/2025:21:44:34 +0900] "GET /servletExample/list HTTP/1.1" 200 2898
0:0:0:0:0:0:0:1 - - [29/Jul/2025:21:44:34 +0900] "GET /servletExample/js/subjectList.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jul/2025:21:44:34 +0900] "GET /servletExample/js/common.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jul/2025:21:44:34 +0900] "GET /image/star.png HTTP/1.1" 404 826
0:0:0:0:0:0:0:1 - - [29/Jul/2025:21:44:34 +0900] "POST /servletExample/subjectNumber HTTP/1.1" 200 2
0:0:0:0:0:0:0:1 - - [29/Jul/2025:21:45:26 +0900] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 864
0:0:0:0:0:0:0:1 - - [29/Jul/2025:21:46:31 +0900] "POST /servletExample/insert HTTP/1.1" 200 493
0:0:0:0:0:0:0:1 - - [29/Jul/2025:21:46:31 +0900] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 864
0:0:0:0:0:0:0:1 - - [29/Jul/2025:22:27:38 +0900] "GET /servletExample/subject/subjectList.jsp HTTP/1.1" 500 2602
0:0:0:0:0:0:0:1 - - [29/Jul/2025:22:27:38 +0900] "GET /favicon.ico HTTP/1.1" 404 819
0:0:0:0:0:0:0:1 - - [29/Jul/2025:22:27:41 +0900] "GET /servletExample/list HTTP/1.1" 200 2898
0:0:0:0:0:0:0:1 - - [29/Jul/2025:22:27:41 +0900] "POST /servletExample/subjectNumber HTTP/1.1" 200 2
0:0:0:0:0:0:0:1 - - [29/Jul/2025:22:33:35 +0900] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 864
0:0:0:0:0:0:0:1 - - [29/Jul/2025:23:41:49 +0900] "GET /servletExample/list HTTP/1.1" 200 2898
0:0:0:0:0:0:0:1 - - [29/Jul/2025:23:41:49 +0900] "POST /servletExample/subjectNumber HTTP/1.1" 200 2
0:0:0:0:0:0:0:1 - - [29/Jul/2025:23:44:25 +0900] "GET /servletExample/list HTTP/1.1" 200 2898
0:0:0:0:0:0:0:1 - - [29/Jul/2025:23:44:25 +0900] "POST /servletExample/subjectNumber HTTP/1.1" 200 2
